OID_BLKGRP_20|GEOID_BLKGRP_20|NAMELSAD_BLKGRP_20|AREALAND_BLKGRP_20|AREAWATER_BLKGRP_20|MTFCC_BLKGRP_20|FUNCSTAT_BLKGRP_20|OID_BLKGRP_10|GEOID_BLKGRP_10|NAMELSAD_BLKGRP_10|AREALAND_BLKGRP_10|AREAWATER_BLKGRP_10|MTFCC_BLKGRP_10|FUNCSTAT_BLKGRP_10|AREALAND_PART|AREAWATER_PART
20890735235048|360010001001|Block Group 1|2010584|245021|G5030|S|20840735235048|360010001001|Block Group 1|2010584|245021|G5030|S|2010584|245021
20890735272384|360010001002|Block Group 2|356872|0|G5030|S|20840735272384|360010001002|Block Group 2|356872|0|G5030|S|356872|0
2089015496728047|360010002011|Block Group 1|206621|0|G5030|S|20840735272043|360010002002|Block Group 2|206621|0|G5030|S|206621|0
2089015496728012|360010002012|Block Group 2|216941|0|G5030|S|20840735271937|360010002003|Block Group 3|216941|0|G5030|S|216941|0
2089015496728048|360010002013|Block Group 3|192305|0|G5030|S|20840735272165|360010002004|Block Group 4|192305|0|G5030|S|192305|0
2089015496727808|360010002021|Block Group 1|256710|0|G5030|S|20840735271731|360010002001|Block Group 1|1449294|0|G5030|S|256710|0
2089015496727662|360010002022|Block Group 2|1184780|0|G5030|S|20840735271731|360010002001|Block Group 1|1449294|0|G5030|S|1184780|0
2089015496727829|360010003011|Block Group 1|336905|0|G5030|S|208403716989717|360010003002|Block Group 2|336905|0|G5030|S|336905|0
2089015496727874|360010003012|Block Group 2|322594|0|G5030|S|208403716989674|360010003004|Block Group 4|673677|0|G5030|S|322594|0
2089015496727417|360010003021|Block Group 1|2953637|11732|G5030|S|20840735252710|360010003001|Block Group 1|2604447|11732|G5030|S|2604447|11732
2089015496727417|360010003021|Block Group 1|2953637|11732|G5030|S|208403716989674|360010003004|Block Group 4|673677|0|G5030|S|349190|0
2089015496727472|360010003022|Block Group 2|2144302|43594|G5030|S|208403716989727|360010003003|Block Group 3|2142409|43594|G5030|S|2142409|43594
2089015496727472|360010003022|Block Group 2|2144302|43594|G5030|S|208403716989674|360010003004|Block Group 4|673677|0|G5030|S|1893|0
20890735238939|360010004011|Block Group 1|9037500|86162|G5030|S|20840735238939|360010004011|Block Group 1|9065815|86327|G5030|S|9037500|86162
20890735256580|360010004031|Block Group 1|547995|0|G5030|S|20840735256580|360010004031|Block Group 1|547995|0|G5030|S|547995|0
20890735256816|360010004032|Block Group 2|379856|0|G5030|S|20840735256816|360010004032|Block Group 2|379856|0|G5030|S|379856|0
20890735255917|360010004033|Block Group 3|215222|0|G5030|S|20840735255917|360010004033|Block Group 3|215222|0|G5030|S|215222|0
208903716989735|360010004034|Block Group 4|1995627|0|G5030|S|208403716989735|360010004034|Block Group 4|1995627|0|G5030|S|1995627|0
20890735232020|360010004041|Block Group 1|1869128|84679|G5030|S|20840735238939|360010004011|Block Group 1|9065815|86327|G5030|S|28315|165
20890735232020|360010004041|Block Group 1|1869128|84679|G5030|S|20840735232020|360010004041|Block Group 1|1840813|84514|G5030|S|1840813|84514
20890735269009|360010005011|Block Group 1|109891|0|G5030|S|20840735269009|360010005011|Block Group 1|109891|0|G5030|S|109891|0
20890735268896|360010005012|Block Group 2|224320|0|G5030|S|20840735268896|360010005012|Block Group 2|224320|0|G5030|S|224320|0
20890735268788|360010005013|Block Group 3|67340|0|G5030|S|20840735268788|360010005013|Block Group 3|67340|0|G5030|S|67340|0
20890735256919|360010005014|Block Group 4|145739|0|G5030|S|20840735256919|360010005014|Block Group 4|145739|0|G5030|S|145739|0
20890735257417|360010005021|Block Group 1|421668|0|G5030|S|20840735257417|360010005021|Block Group 1|421668|0|G5030|S|421668|0
208903716989738|360010005022|Block Group 2|355787|0|G5030|S|208403716989738|360010005022|Block Group 2|355787|0|G5030|S|355787|0
20890735270549|360010006001|Block Group 1|107033|0|G5030|S|20840735270549|360010006001|Block Group 1|107033|0|G5030|S|107033|0
20890735270458|360010006002|Block Group 2|120295|0|G5030|S|20840735270458|360010006002|Block Group 2|120295|0|G5030|S|120295|0
20890735269121|360010006003|Block Group 3|279553|0|G5030|S|20840735269121|360010006003|Block Group 3|279553|0|G5030|S|279553|0
20890735234707|360010007001|Block Group 1|1122837|14749|G5030|S|20840735234707|360010007001|Block Group 1|1122837|14749|G5030|S|1122837|14749
20890735270360|360010007002|Block Group 2|136863|0|G5030|S|20840735270360|360010007002|Block Group 2|136863|0|G5030|S|136863|0
208903716989732|360010007003|Block Group 3|185327|0|G5030|S|208403716989732|360010007003|Block Group 3|185327|0|G5030|S|185327|0
20890735270736|360010007004|Block Group 4|148908|0|G5030|S|20840735270736|360010007004|Block Group 4|148908|0|G5030|S|148908|0
20890735271187|360010008001|Block Group 1|86971|0|G5030|S|20840735271187|360010008001|Block Group 1|86971|0|G5030|S|86971|0
20890735270949|360010008002|Block Group 2|130355|0|G5030|S|20840735270949|360010008002|Block Group 2|130355|0|G5030|S|130355|0
20890735270628|360010008003|Block Group 3|127086|0|G5030|S|20840735270628|360010008003|Block Group 3|127086|0|G5030|S|127086|0
20890735230369|360010011001|Block Group 1|1740188|264496|G5030|S|20840735271731|360010002001|Block Group 1|1449294|0|G5030|S|7804|0
20890735230369|360010011001|Block Group 1|1740188|264496|G5030|S|20840735230369|360010011001|Block Group 1|1733316|264496|G5030|S|1731595|264496
20890735230369|360010011001|Block Group 1|1740188|264496|G5030|S|20840735273371|360010025002|Block Group 2|95810|0|G5030|S|789|0
20890735271294|360010014001|Block Group 1|89446|0|G5030|S|20840735271294|360010014001|Block Group 1|181606|0|G5030|S|89446|0
20890735271075|360010014002|Block Group 2|85184|0|G5030|S|20840735271075|360010014002|Block Group 2|109060|0|G5030|S|85184|0
20890735254095|360010014003|Block Group 3|485997|25632|G5030|S|20840735271075|360010014002|Block Group 2|109060|0|G5030|S|23876|0
20890735254095|360010014003|Block Group 3|485997|25632|G5030|S|20840735254095|360010014003|Block Group 3|462121|25632|G5030|S|462121|25632
2089015496728046|360010014004|Block Group 4|92160|0|G5030|S|20840735271294|360010014001|Block Group 1|181606|0|G5030|S|92160|0
20890735269234|360010015001|Block Group 1|169175|0|G5030|S|20840735269234|360010015001|Block Group 1|169175|0|G5030|S|169175|0
20890735276675|360010015002|Block Group 2|112774|0|G5030|S|20840735276675|360010015002|Block Group 2|112774|0|G5030|S|112774|0
20890735269472|360010015003|Block Group 3|129611|0|G5030|S|20840735269472|360010015003|Block Group 3|129611|0|G5030|S|129611|0
20890735269365|360010015004|Block Group 4|170842|0|G5030|S|20840735269365|360010015004|Block Group 4|170842|0|G5030|S|170842|0
20890735257641|360010016001|Block Group 1|226526|0|G5030|S|20840735257641|360010016001|Block Group 1|226526|0|G5030|S|226526|0
20890735257529|360010016002|Block Group 2|210893|0|G5030|S|20840735257529|360010016002|Block Group 2|210893|0|G5030|S|210893|0
20890735268331|360010016003|Block Group 3|224915|0|G5030|S|20840735268331|360010016003|Block Group 3|224915|0|G5030|S|224915|0
20890735257755|360010016004|Block Group 4|252894|0|G5030|S|20840735257755|360010016004|Block Group 4|252894|0|G5030|S|252894|0
208903716989737|360010017001|Block Group 1|376683|0|G5030|S|208403716989737|360010017001|Block Group 1|376683|0|G5030|S|376683|0
20890735257212|360010017002|Block Group 2|279573|0|G5030|S|20840735257212|360010017002|Block Group 2|279573|0|G5030|S|279573|0
20890735256176|360010017003|Block Group 3|711784|0|G5030|S|20840735256176|360010017003|Block Group 3|442778|0|G5030|S|442778|0
20890735256176|360010017003|Block Group 3|711784|0|G5030|S|20840735256024|360010017004|Block Group 4|268213|0|G5030|S|268213|0
20890735256176|360010017003|Block Group 3|711784|0|G5030|S|20840735255358|360010018012|Block Group 2|847895|16372|G5030|S|793|0
20890735255238|360010018021|Block Group 1|393044|0|G5030|S|20840735255358|360010018012|Block Group 2|847895|16372|G5030|S|4095|0
20890735255238|360010018021|Block Group 1|393044|0|G5030|S|20840735255238|360010018021|Block Group 1|388949|0|G5030|S|388949|0
20890735233000|360010018022|Block Group 2|990529|0|G5030|S|20840735233000|360010018022|Block Group 2|990583|0|G5030|S|990529|0
20890735252840|360010018023|Block Group 3|526409|0|G5030|S|20840735252840|360010018023|Block Group 3|238950|0|G5030|S|238950|0
20890735252840|360010018023|Block Group 3|526409|0|G5030|S|20840735253764|360010018024|Block Group 4|287459|0|G5030|S|287459|0
2089015496727980|360010018031|Block Group 1|308260|0|G5030|S|20840735255698|360010018011|Block Group 1|308260|0|G5030|S|308260|0
2089015496727445|360010018032|Block Group 2|843007|16372|G5030|S|20840735255358|360010018012|Block Group 2|847895|16372|G5030|S|843007|16372
2089015496727916|360010018033|Block Group 3|617981|0|G5030|S|20840735255477|360010018014|Block Group 4|619009|0|G5030|S|617927|0
2089015496727916|360010018033|Block Group 3|617981|0|G5030|S|20840735233000|360010018022|Block Group 2|990583|0|G5030|S|54|0
2089015496727428|360010018041|Block Group 1|699097|0|G5030|S|20840735230640|360010018013|Block Group 3|699097|0|G5030|S|699097|0
2089015496727576|360010018042|Block Group 2|4172715|2146|G5030|S|20840735230461|360010018015|Block Group 5|5575267|4438|G5030|S|4172715|2146
2089015496727438|360010018043|Block Group 3|1403634|2292|G5030|S|20840735255477|360010018014|Block Group 4|619009|0|G5030|S|1082|0
2089015496727438|360010018043|Block Group 3|1403634|2292|G5030|S|20840735230461|360010018015|Block Group 5|5575267|4438|G5030|S|1402552|2292
20890735276822|360010019011|Block Group 1|371582|0|G5030|S|208403716989740|360010019013|Block Group 3|371582|0|G5030|S|371582|0
20890735268445|360010019012|Block Group 2|499413|0|G5030|S|20840735276822|360010019011|Block Group 1|269101|0|G5030|S|269101|0
20890735268445|360010019012|Block Group 2|499413|0|G5030|S|20840735268445|360010019012|Block Group 2|230312|0|G5030|S|230312|0
20890735268554|360010019021|Block Group 1|242320|0|G5030|S|20840735268554|360010019021|Block Group 1|242320|0|G5030|S|242320|0
20890735256317|360010019022|Block Group 2|301203|0|G5030|S|20840735256317|360010019022|Block Group 2|301203|0|G5030|S|301203|0
20890735255587|360010019023|Block Group 3|629218|0|G5030|S|20840735255587|360010019023|Block Group 3|629218|0|G5030|S|629218|0
20890735269694|360010020001|Block Group 1|360053|0|G5030|S|20840735269694|360010020001|Block Group 1|360053|0|G5030|S|360053|0
20890735269815|360010020002|Block Group 2|127564|0|G5030|S|20840735269815|360010020002|Block Group 2|127564|0|G5030|S|127564|0
20890735269929|360010020003|Block Group 3|137721|0|G5030|S|20840735269929|360010020003|Block Group 3|137721|0|G5030|S|137721|0
20890735269581|360010020004|Block Group 4|189800|0|G5030|S|20840735269581|360010020004|Block Group 4|189800|0|G5030|S|189800|0
208903716989742|360010020005|Block Group 5|2075908|7882|G5030|S|208403716989742|360010020005|Block Group 5|2075908|7882|G5030|S|2075908|7882
20890735277221|360010021001|Block Group 1|119628|0|G5030|S|20840735277221|360010021001|Block Group 1|119628|0|G5030|S|119628|0
20890735276958|360010021002|Block Group 2|1041312|0|G5030|S|20840735276958|360010021002|Block Group 2|1041312|0|G5030|S|1041312|0
20890735277087|360010021003|Block Group 3|299654|0|G5030|S|20840735277087|360010021003|Block Group 3|299654|0|G5030|S|299654|0
20890735271525|360010022001|Block Group 1|133941|0|G5030|S|20840735271525|360010022001|Block Group 1|133941|0|G5030|S|133941|0
20890735271410|360010022002|Block Group 2|114450|0|G5030|S|20840735271410|360010022002|Block Group 2|114450|0|G5030|S|114450|0
20890735271624|360010023001|Block Group 1|145333|0|G5030|S|20840735271624|360010023001|Block Group 1|145333|0|G5030|S|145333|0
208903716989739|360010023002|Block Group 2|495044|7375|G5030|S|208403716989739|360010023002|Block Group 2|495044|7375|G5030|S|495044|7375
20890735273476|360010025001|Block Group 1|276953|115684|G5030|S|20840735273476|360010025001|Block Group 1|272347|115684|G5030|S|269425|115684
20890735273476|360010025001|Block Group 1|276953|115684|G5030|S|20840735273371|360010025002|Block Group 2|95810|0|G5030|S|7528|0
20890735273371|360010025002|Block Group 2|88454|0|G5030|S|20840735230369|360010011001|Block Group 1|1733316|264496|G5030|S|1721|0
20890735273371|360010025002|Block Group 2|88454|0|G5030|S|20840735273476|360010025001|Block Group 1|272347|115684|G5030|S|525|0
20890735273371|360010025002|Block Group 2|88454|0|G5030|S|20840735273371|360010025002|Block Group 2|95810|0|G5030|S|86208|0
20890735272884|360010025003|Block Group 3|189591|0|G5030|S|20840735273476|360010025001|Block Group 1|272347|115684|G5030|S|2397|0
20890735272884|360010025003|Block Group 3|189591|0|G5030|S|20840735273371|360010025002|Block Group 2|95810|0|G5030|S|1285|0
20890735272884|360010025003|Block Group 3|189591|0|G5030|S|20840735272884|360010025003|Block Group 3|185909|0|G5030|S|185909|0
20890735273252|360010025004|Block Group 4|112351|0|G5030|S|20840735273252|360010025004|Block Group 4|52239|0|G5030|S|52239|0
20890735273252|360010025004|Block Group 4|112351|0|G5030|S|20840735273139|360010025005|Block Group 5|60112|0|G5030|S|60112|0
20890735272650|360010026001|Block Group 1|292221|0|G5030|S|20840735272650|360010026001|Block Group 1|306594|0|G5030|S|292221|0
20890735272759|360010026002|Block Group 2|335750|0|G5030|S|20840735272650|360010026001|Block Group 1|306594|0|G5030|S|14373|0
20890735272759|360010026002|Block Group 2|335750|0|G5030|S|20840735272759|360010026002|Block Group 2|321377|0|G5030|S|321377|0
20890735230281|360010026003|Block Group 3|799321|0|G5030|S|20840735230281|360010026003|Block Group 3|799321|0|G5030|S|799321|0
20890735270134|360010026004|Block Group 4|2745699|449304|G5030|S|20840735270134|360010026004|Block Group 4|2745699|449304|G5030|S|2745699|449304
20890735273823|360010127001|Block Group 1|562805|358566|G5030|S|20840735273823|360010127001|Block Group 1|562805|351174|G5030|S|562805|351174
20890735273823|360010127001|Block Group 1|562805|358566|G5030|S|20840735273927|360010127002|Block Group 2|376654|191340|G5030|S|0|7392
20890735273927|360010127002|Block Group 2|358698|181467|G5030|S|20840735273927|360010127002|Block Group 2|376654|191340|G5030|S|358698|181467
20890735274167|360010127003|Block Group 3|593632|118830|G5030|S|20840735273927|360010127002|Block Group 2|376654|191340|G5030|S|17956|2481
20890735274167|360010127003|Block Group 3|593632|118830|G5030|S|20840735274167|360010127003|Block Group 3|575676|116349|G5030|S|575676|116349
20890735274049|360010128001|Block Group 1|934686|155808|G5030|S|20840735274049|360010128001|Block Group 1|934686|155808|G5030|S|934686|155808
20890735374175|360010128002|Block Group 2|308825|0|G5030|S|20840735374175|360010128002|Block Group 2|308825|0|G5030|S|308825|0
20890735374765|360010128003|Block Group 3|190566|0|G5030|S|20840735374765|360010128003|Block Group 3|190566|0|G5030|S|190566|0
20890735374649|360010128004|Block Group 4|193445|0|G5030|S|20840735374649|360010128004|Block Group 4|193445|0|G5030|S|193445|0
20890735273587|360010129001|Block Group 1|881683|290662|G5030|S|20840735273587|360010129001|Block Group 1|881683|290662|G5030|S|881683|290662
20890735273703|360010129002|Block Group 2|365297|47610|G5030|S|20840735273703|360010129002|Block Group 2|365297|47610|G5030|S|365297|47610
20890735374533|360010129003|Block Group 3|92470|0|G5030|S|20840735374533|360010129003|Block Group 3|92470|0|G5030|S|92470|0
20890735374302|360010129004|Block Group 4|160066|0|G5030|S|20840735374302|360010129004|Block Group 4|160066|0|G5030|S|160066|0
20890735373946|360010130001|Block Group 1|506570|0|G5030|S|20840735373946|360010130001|Block Group 1|506570|0|G5030|S|506570|0
208903716989743|360010130002|Block Group 2|1109594|47672|G5030|S|208403716989743|360010130002|Block Group 2|1109594|47672|G5030|S|1109594|47672
